CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.06.02;Despesas Financeiras;-297616.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.07;Resultado Antes dos Tributos sobre o Lucro;152257.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.07;Resultado Antes dos Tributos sobre o Lucro;199798.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-25919.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-22719.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.08.01;Corrente;-25919.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.08.01;Corrente;-22719.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.08.02;Diferido;0.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.08.02;Diferido;0.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.09;Resultado Líquido das Operações Continuadas;126338.00
